size,nthreads_per_process,total_nthreads,time
2,1,2,772.842631
2,1,2,774.714655
2,1,2,774.486250
2,8,16,101.346390
2,8,16,102.030897
2,8,16,101.440906
2,16,32,51.000463
2,16,32,50.509607
2,16,32,50.364580
2,24,48,34.215086
2,24,48,34.004249
2,24,48,33.762835
2,32,64,25.978974
2,32,64,25.854498
2,32,64,26.138531
2,40,80,22.380719
2,40,80,22.453271
2,40,80,22.695929
2,48,96,19.171276
2,48,96,19.208808
2,48,96,19.158836
2,56,112,16.385896
2,56,112,17.268010
2,56,112,17.082374
2,64,128,15.277117
2,64,128,15.448144
2,64,128,15.317163
